Periodo;Total
2003T1;2.328,50
2003T2;2.216,00
2003T3;2.247,50
2003T4;2.276,70
2004T1;2.309,80
2004T2;2.247,60
2004T3;2.199,80
2004T4;2.176,90
2005T1;2.121,30
2005T2;1.969,10
2005T3;1.783,50
2005T4;1.860,30
2006T1;1.942,80
2006T2;1.834,40
2006T3;1.766,90
2006T4;1.819,40
2007T1;1.863,20
2007T2;1.773,20
2007T3;1.806,20
2007T4;1.942,00
2008T1;2.190,50
2008T2;2.385,70
2008T3;2.600,70
2008T4;3.206,80
2009T1;4.018,20
2009T2;4.139,60
2009T3;4.121,40
2009T4;4.335,00
2010T1;4.617,70
2010T2;4.655,30
2010T3;4.585,40
2010T4;4.702,20
2011T1;4.921,20
2011T2;4.844,20
2011T3;4.998,00
2011T4;5.287,30
2012T1;5.667,90
2012T2;5.731,00
2012T3;5.824,20
2012T4;6.021,00
