Periodo;Valor  
2002M01;74,585
2002M02;74,650
2002M03;75,267
2002M04;76,289
2002M05;76,563
2002M06;76,567
2002M07;76,035
2002M08;76,253
2002M09;76,538
2002M10;77,296
2002M11;77,416
2002M12;77,673
2003M01;77,354
2003M02;77,518
2003M03;78,056
2003M04;78,691
2003M05;78,618
2003M06;78,670
2003M07;78,177
2003M08;78,535
2003M09;78,770
2003M10;79,301
2003M11;79,559
2003M12;79,696
2004M01;79,137
2004M02;79,173
2004M03;79,726
2004M04;80,817
2004M05;81,294
2004M06;81,423
2004M07;80,805
2004M08;81,162
2004M09;81,307
2004M10;82,143
2004M11;82,348
2004M12;82,268
2005M01;81,575
2005M02;81,786
2005M03;82,433
2005M04;83,620
2005M05;83,780
2005M06;83,976
2005M07;83,462
2005M08;83,828
2005M09;84,343
2005M10;85,029
2005M11;85,158
2005M12;85,341
2006M01;84,994
2006M02;85,035
2006M03;85,637
2006M04;86,845
2006M05;87,158
2006M06;87,290
2006M07;86,771
2006M08;86,948
2006M09;86,805
2006M10;87,161
2006M11;87,377
2006M12;87,616
2007M01;87,027
2007M02;87,087
2007M03;87,747
2007M04;88,959
2007M05;89,204
2007M06;89,368
2007M07;88,717
2007M08;88,839
2007M09;89,131
2007M10;90,286
2007M11;90,933
2007M12;91,314
2008M01;90,749
2008M02;90,890
2008M03;91,697
2008M04;92,684
2008M05;93,310
2008M06;93,847
2008M07;93,396
2008M08;93,196
2008M09;93,177
2008M10;93,497
2008M11;93,100
2008M12;92,622
2009M01;91,481
2009M02;91,491
2009M03;91,641
2009M04;92,536
2009M05;92,504
2009M06;92,911
2009M07;92,118
2009M08;92,440
2009M09;92,221
2009M10;92,879
2009M11;93,382
2009M12;93,358
2010M01;92,422
2010M02;92,254
2010M03;92,938
2010M04;93,928
2010M05;94,137
2010M06;94,305
2010M07;93,882
2010M08;94,119
2010M09;94,184
2010M10;95,045
2010M11;95,560
2010M12;96,148
2011M01;95,444
2011M02;95,565
2011M03;96,280
2011M04;97,478
2011M05;97,445
2011M06;97,308
2011M07;96,786
2011M08;96,906
2011M09;97,143
2011M10;97,909
2011M11;98,306
2011M12;98,434
2012M01;97,351
2012M02;97,452
2012M03;98,108
2012M04;99,486
2012M05;99,338
2012M06;99,153
2012M07;98,921
2012M08;99,479
2012M09;100,458
2012M10;101,311
2012M11;101,186
2012M12;101,257
2013M01;99,963
2013M02;100,136
2013M03;100,488
2013M04;100,864
2013M05;101,050
2013M06;101,199
2013M07;100,677
2013M08;100,990
2013M09;100,801
2013M10;101,210
2013M11;101,421
2013M12;101,512
2014M01;100,162
2014M02;100,118
2014M03;100,342
2014M04;101,235
2014M05;101,258
2014M06;101,286
2014M07;100,334
2014M08;100,492
2014M09;100,645
2014M10;101,114
2014M11;101,044
2014M12;100,455
2015M01;98,841
2015M02;99,043
2015M03;99,676
2015M04;100,592
2015M05;101,073
2015M06;101,343
2015M07;100,402
2015M08;100,068
2015M09;99,761
2015M10;100,399
2015M11;100,767
2015M12;100,472
2016M01;98,556
2016M02;98,208
2016M03;98,838
2016M04;99,531
2016M05;100,074
2016M06;100,537
2016M07;99,806
2016M08;99,934
2016M09;99,939
2016M10;101,081
2016M11;101,447
2016M12;102,049
2017M01;101,488
2017M02;101,122
2017M03;101,101
2017M04;102,073
2017M05;102,011
2017M06;102,055
2017M07;101,351
2017M08;101,553
2017M09;101,730
2017M10;102,668
2017M11;103,137
2017M12;103,184
2018M01;102,071
2018M02;102,208
2018M03;102,329
2018M04;103,174
2018M05;104,104
2018M06;104,376
2018M07;103,628
2018M08;103,776
2018M09;104,029
2018M10;104,991
2018M11;104,876
2018M12;104,405
2019M01;103,071
2019M02;103,322
2019M03;103,698
2019M04;104,743
2019M05;104,947
2019M06;104,824
2019M07;104,174
2019M08;104,116
2019M09;104,116
2019M10;105,126
2019M11;105,304
2019M12;105,228
2020M01;104,202
2020M02;104,078
2020M03;103,679
2020M04;103,992
2020M05;103,986
2020M06;104,466
2020M07;103,528
2020M08;103,575
2020M09;103,731
2020M10;104,275
2020M11;104,447
2020M12;104,668
2021M01;104,678
2021M02;104,061
2021M03;105,070
2021M04;106,311
2021M05;106,811
2021M06;107,320
2021M07;106,511
2021M08;106,995
